zipcode,address,bldgclass,numfloors,bldgdepth,yearbuilt,latitude,longitude
10075.0,399 1 AVENUE,Residential,7.0,0.0,1910.0,40.7716851,-73.9528382
10075.0,1488 1 AVENUE,Residential,4.0,55.0,1910.0,40.7712653,-73.9531454
10022.0,153 EAST 60 STREET,Commercial,,0.0,0.0,40.7628136,-73.967042
10128.0,5 EAST 89 STREET,Education,2.0,65.0,1958.0,40.7833578,-73.9581706
10009.0,639 EAST 6 STREET,Commercial,,0.0,0.0,40.7238904,-73.9796595
10128.0,329 EAST 88 STREET,Residential,5.0,72.0,1910.0,40.7787513,-73.9491972
10128.0,508 EAST 87 STREET,Residential,3.0,42.0,1899.0,40.7761725,-73.946076
10009.0,151 AVENUE C,Commercial,2.0,83.0,1910.0,40.725655,-73.9780391
10028.0,45 EAST END AVENUE,High Rise,20.0,102.17,1951.0,40.771751,-73.9465959
10021.0,524 EAST 74 STREET,Education,16.0,0.0,2015.0,40.7672381,-73.9515598
10028.0,55 EAST END AVENUE,High Rise,15.0,194.0,1951.0,40.7719732,-73.9463538
10028.0,605 EAST 82 STREET,High Rise,20.0,120.0,1953.0,40.7722749,-73.9458048
10028.0,610 EAST 83 STREET,Education,12.0,78.0,1929.0,40.7724641,-73.9454978
10128.0,525 EAST 89 STREET,High Rise,6.0,87.0,1942.0,40.7774424,-73.9441722
10025.0,3 WEST 102 STREET,Residential,5.0,80.0,1920.0,40.7958889,-73.9622727
10009.0,218 EAST 2 STREET,Commercial,,0.0,0.0,40.7219531,-73.9826833
10028.0,1622 YORK AVENUE,Commercial,14.0,0.0,2020.0,40.7755746,-73.9470297
10028.0,523 EAST 84 STREET,Residential,4.0,72.0,1910.0,40.7742652,-73.9466986
10028.0,530 EAST 85 STREET,Residential,5.0,64.0,1925.0,40.7745369,-73.9465539
10028.0,521A EAST 85 STREET,Residential,5.0,69.0,1910.0,40.7750584,-73.946586
10028.0,532 EAST 85 STREET,High Rise,5.0,81.0,1900.0,40.7744874,-73.9464348
